Country,City,Latitude,Longitude,Temperature,Humidity %,Wind Speed,Cloudiness %
NO,setermoen,68.86,18.35,6.8,84,2.24,75
PY,primero de marzo,-25.15,-56.93,80.6,83,5.82,75
BN,victoria,5.28,115.24,77,94,2.24,75
NO,havoysund,71,24.66,23,73,31.09,40
KZ,petropavl,54.87,69.13,-3.09,76,6.2,0
LY,awbari,26.59,12.77,51.36,58,6.08,68
SA,abha,18.22,42.5,57.2,76,16.11,40
AU,busselton,-33.64,115.35,61.17,100,22.64,0
NA,rundu,-17.91,19.77,78.8,65,2.24,32
SA,riyadh,24.63,46.72,51.8,32,2.24,0
AR,barrow,-38.31,-60.23,90.42,25,12.46,0
RU,khatanga,71.98,102.47,-6.11,87,6.42,64
GF,camopi,3.17,-52.33,78.32,85,3.62,88
BR,jacareacanga,-6.22,-57.76,86,74,4.7,20
UA,velyka bahachka,49.79,33.72,32.73,98,8.99,92
PH,dingle,11,122.67,73.55,96,9.89,56
BM,hamilton,32.3,-64.78,68,64,18.34,75
GB,broome,52.47,1.45,42.8,75,14.99,0
LR,tubmanburg,6.87,-10.82,79.62,75,10.45,0
RU,nikolskoye,59.7,30.79,24.8,85,11.18,75
CN,jieshi,22.82,115.83,46.32,100,11.79,92
PG,madang,-5.21,145.81,75.12,100,4.63,56
,samalaeulu,,,,,,
CA,husavik,50.56,-96.99,-0.21,87,2.95,12
PK,lahore,31.52,74.33,53.6,71,4.7,20
CN,lichuan,30.3,108.94,21.66,91,2.17,76
AR,pilar,-34.46,-58.91,86,34,13.87,0
IN,muvattupula,9.97,76.58,75.2,88,0.6,0
BR,maragogi,-9.01,-35.22,77.91,91,9.1,92
US,harper,30.3,-99.24,64.4,16,3.36,1
RU,zhigalovo,54.81,105.15,-3.09,70,2.28,56
BR,pontal do parana,-25.67,-48.51,69.8,94,9.17,75
RU,morki,56.43,49,8.88,79,16.82,68
US,watertown,44.9,-97.12,14,72,5.82,1
CA,murdochville,48.96,-65.49,3.75,63,2.95,0
,tumannyy,,,,,,
RU,dombarovskiy,50.76,59.54,-23.66,35,2.95,0
PT,camacha,33.08,-16.33,60.8,67,18.34,40
BR,touros,-5.2,-35.46,80.34,77,10.45,32
GY,bartica,6.41,-58.62,86,51,13.87,40
DZ,adrar,27.87,-0.29,68,8,11.41,0
JP,mutsu,41.29,141.2,21.2,92,1.12,90
RU,yar-sale,66.83,70.83,14.19,80,18.84,36
YT,chirongui,-12.93,45.15,80.6,88,2.24,12
JP,gushikawa,26.35,127.87,59,66,10.29,90
BR,cidreira,-30.17,-50.22,75.17,75,13.8,80
MX,coahuayana,18.62,-100.35,77.37,45,1.5,64
JP,hirado,33.32,129.49,38.04,100,20.96,32
NZ,mataura,-46.19,168.86,77.91,50,10.22,0
AU,moree,-29.46,149.84,71.7,64,7.99,0
KE,wajir,1.75,40.07,74.04,58,3.74,0
NO,mehamn,71.03,27.85,23,67,5.82,0
MM,kyaikkami,16.08,97.57,67.65,89,2.95,0
US,ashland,38.48,-82.64,51.8,39,8.05,90
RU,sobolevo,54.43,31.9,33.18,99,11.23,88
IN,leh,34.16,77.58,3.89,74,1.61,76
FR,autun,46.95,4.3,46.4,87,3.36,90
,belushya guba,,,,,,
RU,kaa-khem,51.7,94.56,-35.13,60,2.39,24
GL,upernavik,72.79,-56.15,-2.69,100,11.68,24
RU,urdoma,61.74,48.55,16.17,77,6.31,88
NC,ouegoa,-20.34,164.44,78.5,92,14.03,100
CO,montelibano,7.98,-75.42,83.49,85,6.31,12
AR,presidencia roque saenz pena,-26.79,-60.44,85.74,76,11.9,0
CN,jiuquan,39.73,98.49,-1.79,82,2.95,68
CF,obo,5.39,26.49,65,54,10.11,0
CA,port hardy,50.7,-127.42,42.8,93,12.75,75
AU,codrington,-28.95,153.24,70.17,99,5.53,92
BR,trairi,-3.28,-39.27,81.87,100,15.48,92
,ebano,,,,,,
ET,mandera,3.94,41.86,75.17,31,10,0
MV,thinadhoo,0.53,72.93,81.78,100,5.75,48
ID,pontianak,-0.02,109.34,79.62,90,7.65,80
CD,bosobolo,4.19,19.88,69.9,63,6.53,0
NO,raudeberg,61.99,5.14,33.8,100,9.17,75
US,pacific grove,36.62,-121.92,73.4,35,4.7,1
BR,pimenta bueno,-11.68,-61.19,81.69,80,2.17,56
FR,souillac,45.6,-0.6,50,76,3.36,90
US,fallon,46.84,-105.12,19.4,85,4.7,90
CN,erenhot,43.65,111.97,-1.16,61,13.35,0
AR,bahia blanca,-38.72,-62.27,92.27,34,18.72,8
RU,sosva,59.17,61.86,11.72,77,6.2,20
PE,pisco,-13.71,-76.2,75.2,78,9.17,75
PE,iberia,-11.41,-69.49,84.21,75,3.18,20
AU,burnie,-41.05,145.91,61.4,100,23.42,80
RU,yeniseysk,58.45,92.17,3.93,72,6.87,56
LY,benghazi,32.12,20.07,51.8,81,13.87,0
AO,saurimo,-9.66,20.4,65.27,92,2.73,20
CA,norman wells,65.28,-126.83,-29.21,66,3.06,75
MG,ampanihy,-24.69,44.75,70.26,82,6.98,48
UY,chuy,-33.69,-53.46,74.67,70,15.7,0
NG,naze,5.43,7.07,82.4,65,1.72,64
AU,mount gambier,-37.83,140.78,60,71,7.65,92
SL,bonthe,7.53,-12.5,82.32,70,5.19,36
RU,zasechnoye,53.11,45.08,20,87,17.16,80
,palabuhanratu,,,,,,
KR,seoul,37.57,126.98,12.2,77,3.36,1
NA,grootfontein,-19.56,18.1,67.7,92,3.29,20
PH,sabang,13.72,123.58,74.99,99,5.86,64
CA,mayo,63.59,-135.9,-4.01,76,3.36,75
PE,hualmay,-11.1,-77.61,75.35,73,3.96,20
AR,viedma,-40.81,-62.99,97.26,18,19.06,8
,pemangkat,,,,,,
,andenes,,,,,,
US,albany,42.65,-73.75,39.2,51,5.82,75
CD,kaniama,-7.57,24.18,68.69,98,2.28,48
,attawapiskat,,,,,,
RU,georgiyevka,52.25,40.45,25.49,93,13.91,92
RU,svetlaya,46.54,138.33,1.86,100,14.25,0
US,harlingen,26.19,-97.7,73.4,21,10.29,8
ME,ulcinj,41.93,19.22,39.2,95,2.24,0
RU,sorsk,54,90.25,6.5,73,16.6,48
CY,emba,34.81,32.42,50,81,8.05,20
RU,egvekinot,66.32,-179.17,2.49,65,4.41,20
MX,guerrero negro,27.97,-114.04,84.3,27,2.51,0
CN,hami,42.84,93.51,-4.04,50,2.62,0
AT,wanning,48.64,13.53,41,86,8.05,76
AU,katherine,-14.47,132.26,73.4,88,6.93,40
RU,cherskiy,68.75,161.3,27.47,71,9.44,12
VE,upata,8.02,-62.41,88.62,39,8.88,100
RU,oktyabrskoye,56.73,85.44,9.33,78,7.87,64
CA,sydney mines,46.24,-60.22,23,73,16.11,90
,krasnoselkup,,,,,,
CL,castro,-42.48,-73.76,62.61,72,6.98,48
ZA,hermanus,-34.42,19.24,66.17,85,2.73,0
TZ,ikwiriri,-7.96,38.99,77.42,87,3.96,12
FI,aanekoski,62.6,25.73,26.6,86,6.93,90
CA,havre-saint-pierre,50.23,-63.6,10.4,55,8.05,20
IN,vaini,15.34,74.49,64.77,71,3.62,0
,sentyabrskiy,,,,,,
UA,mazurivka,49.27,24.21,41,86,6.71,75
BR,rio grande,-32.03,-52.1,80.6,47,13.87,20
JP,hasaki,35.73,140.83,30.2,100,11.41,75
PT,vila franca do campo,37.72,-25.43,59,82,10.29,75
GH,axim,4.87,-2.24,80.25,98,6.2,8
CO,fuente de oro,3.46,-73.62,81.24,58,2.39,36
MM,lashio,22.93,97.75,46.1,87,1.61,0
ET,lebu,8.96,38.73,43.17,83,2.95,12
KH,kampong cham,11.99,105.46,74.45,91,4.63,8
IR,bandar-e lengeh,26.56,54.88,66.62,100,12.35,0
,grand river south east,,,,,,
US,makakilo city,21.35,-158.09,78.8,57,4.7,1
PT,ribeira grande,38.52,-28.7,60.8,77,10.29,40
RU,provideniya,64.42,-173.23,24.8,79,4.47,0
PK,keti bandar,24.14,67.45,71.75,98,10.11,0
AU,alyangula,-13.85,136.42,78.95,100,19.39,68
,witrivier,,,,,,
ID,tual,-5.67,132.75,85.92,95,21.52,64
PG,samarai,-10.62,150.67,80.84,100,23.53,88
BR,oriximina,-1.77,-55.87,86.6,67,4.18,24
CA,bay roberts,47.58,-53.28,33.8,69,8.05,75
PF,atuona,-9.8,-139.03,81.02,100,19.39,64
KG,isfana,39.84,69.53,19.4,67,13.42,68
PG,kandrian,-6.21,149.55,74.85,99,5.97,76
,richard toll,,,,,,
US,valparaiso,41.47,-87.06,28.4,74,16.11,90
MG,mananjary,-19.16,46.8,62.43,94,3.4,20
GL,qaanaaq,77.48,-69.36,-19.52,100,6.2,0
MY,kota tinggi,1.73,103.9,80.6,83,3.36,0
IN,nuzvid,16.79,80.85,64.14,92,4.41,0
BR,sao miguel do araguaia,-13.28,-50.16,83.13,79,4.41,56
RU,iskateley,67.68,53.15,9.42,85,11.01,36
ZA,port shepstone,-30.74,30.45,72.42,89,19.73,20
,rawannawi,,,,,,
NE,filingue,14.35,3.32,70.67,31,9.44,0
MX,celestun,20.87,-90.4,72.92,100,22.64,88
PT,saldanha,41.42,-6.55,34.04,91,5.3,0
CN,yichang,30.77,111.32,16.98,76,2.62,80
ID,labuhan,-2.54,115.51,77.28,77,2.95,68
FO,klaksvik,62.23,-6.59,35.6,94,12.75,76
US,pierre,44.37,-100.35,23,62,11.41,20
ID,meulaboh,4.14,96.13,78.36,100,4.07,12
RU,arman,59.7,150.17,17.6,100,2.24,90
SO,mogadishu,2.04,45.34,77.24,100,22.64,0
NO,berlevag,70.86,29.09,17.6,67,5.82,0
TC,cockburn town,21.46,-71.14,78.32,98,20.96,0
PG,kieta,-6.22,155.63,79.22,100,10.89,64
RU,baykit,61.68,96.39,-2.55,81,2.73,56
LR,buchanan,5.88,-10.05,80.6,83,6.53,20
AU,alice springs,-23.7,133.88,80.6,65,8.05,0
PL,wladyslawowo,54.79,18.4,42.8,81,29.97,75
CA,goderich,43.74,-81.71,20.9,84,17.94,76
,krasnoyarsk-66,,,,,,
KM,mitsamiouli,-11.38,43.28,78.8,88,1.16,20
BR,arraial do cabo,-22.97,-42.02,84.2,79,5.82,75
,umzimvubu,,,,,,
CY,lasa,34.92,32.53,50,81,8.05,20
MR,nouakchott,18.08,-15.98,64.32,95,18.16,0
NG,bure,10.52,10.33,57.48,45,7.54,0
NU,alofi,-19.06,-169.92,77.37,100,11.56,92
US,bethel,60.79,-161.76,6.8,84,13.87,1
AR,santa fe,-31.62,-60.7,87.81,28,12.91,0
TZ,nyakahanga,-1.6,31.14,63.92,86,2.39,0
SE,timra,62.49,17.33,28.4,86,5.82,90
CN,xining,36.62,101.77,-4.04,66,3.4,88
PG,kavieng,-2.57,150.8,82.82,100,9.55,44
,olafsvik,,,,,,
KZ,kurchum,48.57,83.65,-28.61,45,2.62,12
RU,gornopravdinsk,60.06,69.92,11.45,78,5.97,56
CA,plaster rock,46.91,-67.4,19.4,44,4.7,1
IS,grindavik,63.84,-22.43,32,100,8.05,90
US,lompoc,34.64,-120.46,84.2,22,5.82,1
PG,lorengau,-2.02,147.27,79.44,100,8.99,48
BR,guararapes,-21.25,-50.65,83.72,74,5.75,56
US,college,64.86,-147.8,-29.21,66,2.62,20
AR,rio gallegos,-51.62,-69.22,64.4,23,20.8,75
KE,maua,0.23,37.94,57.21,78,1.72,0
RU,ossora,59.24,163.07,33.05,95,21.07,88
PT,lagoa,37.14,-8.45,59,72,14.99,0
US,florence,34.8,-87.68,55.4,70,11.41,1
PH,lubao,14.94,120.6,77,83,2.24,90
ER,edd,13.93,41.69,66.35,96,2.39,36
JP,nemuro,43.32,145.57,23.55,100,16.49,0
CN,guiyang,26.58,106.71,26.6,86,6.71,90
,macaboboni,,,,,,
CA,burgeo,47.61,-57.61,25.08,100,12.24,44
TR,oltu,40.55,42,19.41,85,0.83,80
,riaba,,,,,,
ID,sungaipenuh,-2.08,101.38,67.79,68,1.39,88
KE,malindi,-3.22,40.12,76.92,96,10.67,0
IN,dharchula,29.85,80.53,24.18,69,1.83,0
CA,torbay,47.66,-52.73,33.8,100,8.05,90
NO,bud,62.91,6.91,39.2,100,2.24,75
BR,alta floresta,-9.87,-56.08,83.31,74,2.17,8
NZ,christchurch,-43.53,172.64,66.2,93,3.36,0
RU,verkhnyaya inta,65.99,60.32,17.7,73,7.87,68
RU,zyryanka,65.73,150.89,-10.52,72,3.18,80
SA,buraydah,26.33,43.97,51.8,55,3.36,20
NA,opuwo,-18.06,13.84,65.54,94,3.4,64
KE,chepareria,1.32,35.2,49.11,71,0.94,8
PE,la libertad,-16.38,-71.56,62.6,59,10.29,0
MG,antalaha,-14.9,50.28,77.42,98,3.74,76
US,avera,33.19,-82.53,66.2,63,6.93,40
AO,camacupa,-12.02,17.48,61.71,93,1.61,64
ZA,richards bay,-28.77,32.06,70.49,86,7.99,8
,louisbourg,,,,,,
MX,tecoanapa,16.99,-99.26,86,62,2.24,75
LY,nalut,31.86,10.98,44.3,86,5.19,0
RU,nyurba,63.29,118.35,-13.53,62,2.39,80
NA,luderitz,-26.65,15.16,68,77,17.22,44
HU,mezokovacshaza,46.4,20.92,39.2,100,8.05,0
PG,wewak,-3.55,143.63,78.95,84,3.85,44
IR,alvand,36.19,50.06,12.2,92,1.72,0
RU,leningradskiy,69.38,178.42,16.94,87,6.64,0
PE,chicama,-7.84,-79.15,73.4,73,10.29,20
BR,praia,-20.25,-43.81,84.2,54,5.82,75
RU,revda,67.94,34.55,-6.69,58,2.28,24
CG,ewo,-0.88,14.81,72.96,90,4.52,0
EC,olinda,-2.03,-79.75,84.2,66,8.05,75
RU,beringovskiy,63.05,179.32,19.59,82,3.4,0
US,port elizabeth,39.31,-74.98,44.6,75,9.17,90
VU,luganville,-15.51,167.18,78.45,100,15.82,92
BR,caravelas,-17.73,-39.27,81.47,100,23.31,0
AU,jamestown,-33.21,138.6,58.92,100,13.69,92
GB,exeter,50.73,-3.53,41,93,4.7,0
EC,yaguachi,-2.12,-79.68,84.2,66,8.05,75
,cumaribo,,,,,,
UG,bushenyi,-0.54,30.19,60.09,83,2.06,8
,tuggurt,,,,,,
MX,san francisco del mar,16.34,-94.51,76.56,82,37.74,64
,tsihombe,,,,,,
PH,miaga,12.24,123.82,76.7,100,9.44,24
GL,ilulissat,69.22,-51.1,-5.81,48,3.36,20
MX,cabo san lucas,22.89,-109.91,87.8,42,11.41,5
PL,swidnica,50.84,16.49,50,66,17.22,20
PT,belmonte,40.36,-7.35,39.35,86,4.29,0
BR,maracacume,-2.04,-45.96,77.69,95,4.74,56
BS,marsh harbour,26.54,-77.06,76.92,93,18.95,32
NO,bronnoysund,65.46,12.2,37.4,74,11.41,92
HU,bajna,47.66,18.6,50,93,4.7,0
IS,vestmannaeyjar,63.44,-20.27,36.92,100,8.77,88
NL,wageningen,51.98,5.66,44.6,93,10.29,90
BD,kalia,23.05,89.63,49.79,78,2.73,0
PG,namatanai,-3.66,152.44,80.97,100,10.45,56
FR,saint-ambroise,47.25,-0.65,50,93,4.7,90
TZ,kisesa,-2.55,33.05,71.97,84,7.2,12
ZW,rusape,-18.53,32.12,63.78,88,3.96,8
LK,wattegama,7.35,80.68,69.59,99,3.4,44
JP,kaseda,31.42,130.32,46.95,100,19.28,68
BW,nokaneng,-19.66,22.19,77.37,55,7.65,36
PE,sechura,-5.56,-80.82,79.85,64,12.46,0
TZ,mbulu,-3.86,35.54,64.77,80,4.52,36
,tarudant,,,,,,
CA,gimli,50.63,-96.99,-0.21,87,2.95,12
BR,sao joao da barra,-21.64,-41.05,87.8,55,13.87,20
JP,hirara,24.8,125.28,63.02,100,22.19,92
PR,vieques,18.43,-65.83,78.8,65,13.87,75
GP,vieux-habitants,16.06,-61.77,80.6,69,16.11,92
PG,kiunga,-6.12,141.3,74.09,89,2.06,92
,haibowan,,,,,,
NG,jos,9.92,8.9,54.78,56,5.64,0
FI,lieksa,63.32,30.02,24.36,82,6.76,92
RU,okha,53.59,142.95,5.69,90,21.97,88
CA,altamont,49.4,-98.5,5,71,4.7,1
CD,kasongo-lunda,-6.48,16.82,71.07,94,1.95,44
,vaitupu,,,,,,
RU,svetlogorsk,53.14,59.15,6.8,38,11.18,12
CN,xiashi,22.12,106.89,38.9,84,7.99,92
RU,chokurdakh,70.62,147.9,-21.14,62,4.74,8
IN,lata,30.78,78.62,20.31,84,1.61,0
ID,bambanglipuro,-7.95,110.28,72.65,100,6.2,92
SD,kutum,14.2,24.66,48.93,32,10.78,0
RU,kamenka,53.19,44.05,22.52,89,16.26,92
CN,linxia,35.6,103.21,-0.03,72,2.39,56
CO,puerto leguizamo,-0.19,-74.78,86.01,69,2.95,20
ES,muros,42.77,-9.06,51.8,71,9.44,0
AU,new norfolk,-42.78,147.06,57.2,62,10.29,75
AU,port lincoln,-34.72,135.86,63.42,97,19.73,92
,illoqqortoormiut,,,,,,
US,hilo,19.71,-155.08,78.8,65,3.36,1
ZA,east london,-33.02,27.91,75.39,96,25.21,0
RU,yenotayevka,47.24,47.04,19.68,82,19.06,88
BB,bathsheba,13.22,-59.52,80.6,78,25.28,75
BR,canto do buriti,-8.11,-42.94,80.12,77,4.18,12
,angra,,,,,,
MU,mahebourg,-20.41,57.7,80.6,83,8.05,75
ES,los llanos de aridane,28.66,-17.92,60.8,63,17.22,20
RS,mana,43.52,20.24,39.2,74,1.12,0
PG,ialibu,-6.28,143.99,62.6,82,9.17,40
RU,listvyanskiy,54.44,83.49,3.12,84,11.12,48
GH,takoradi,4.89,-1.75,78.45,100,5.3,20
UA,male,50.74,33.7,31.56,96,11.12,88
NL,heerenveen,52.96,5.93,44.6,87,14.99,0
AU,hobart,-42.88,147.33,57.2,62,10.29,75
US,austell,33.81,-84.63,59,32,14.99,1
RU,tiksi,71.64,128.87,-31.76,54,3.4,36
SB,kirakira,-10.46,161.92,80.39,100,25.77,100
ZA,bredasdorp,-34.53,20.04,69.8,83,8.66,0
GB,rockingham,52.52,-0.72,41,86,11.41,0
CN,altay,47.83,88.13,-26.58,33,1.16,8
GR,kissamos,35.49,23.66,46.4,100,9.44,0
CA,innisfail,52.02,-113.95,6.8,77,8.05,90
MX,el rosario,22.99,-105.86,89.6,33,5.82,20
SE,oxelosund,58.67,17.1,32,99,4.7,75
ZA,carnarvon,-30.97,22.13,73.1,24,4.18,36
AR,ushuaia,-54.81,-68.31,59,65,25.28,40
MV,hithadhoo,-0.6,73.08,82.1,100,10.56,20
NE,agadez,16.97,7.99,64.77,27,8.99,44
,vicuna,,,,,,
,bentiu,,,,,,
CA,forestville,48.74,-69.09,10.4,66,2.24,40
RU,lebedinyy,58.52,125.52,-19.52,53,2.62,48
US,portland,45.52,-122.67,51.8,87,9.17,75
US,kapaa,22.08,-159.32,75.2,73,9.17,20
JP,katsuura,33.93,134.5,34.04,88,11.79,48
CA,bonavista,48.65,-53.11,22.74,100,10,32
EC,muisne,0.61,-80.02,73.32,100,6.42,92
CG,ouesso,1.61,16.05,83.45,40,4.41,64
,nizhneyansk,,,,,,
CV,sao filipe,14.9,-24.5,69.99,99,16.26,0
RU,nizhneangarsk,55.78,109.57,-19.74,52,2.17,32
GL,tasiilaq,65.61,-37.64,26.6,79,14.99,88
ZW,bulawayo,-20.16,28.59,66.3,84,9.78,76
AO,camabatela,-8.19,15.37,63.29,91,2.62,12
BR,natal,-5.81,-35.21,82.4,74,12.75,40
ES,tacoronte,28.48,-16.41,57.2,93,13.87,75
US,baker city,44.77,-117.83,48.2,70,8.05,1
